ds,ora,article,y,pret
1/2/2023,8:38,BAGUETTE,1,"0,90 €"
1/3/2023,8:38,PAIN AU CHOCOLAT,3,"1,20 €"
1/4/2023,9:14,PAIN AU CHOCOLAT,2,"1,20 €"
1/5/2023,9:14,PAIN,1,"1,15 €"
1/6/2023,9:25,TRADITIONAL BAGUETTE,5,"1,20 €"
1/7/2023,9:25,BAGUETTE,2,"0,90 €"
1/8/2023,9:25,CROISSANT,3,"1,10 €"
1/9/2023,9:27,BANETTE,1,"1,05 €"
1/10/2023,9:32,TRADITIONAL BAGUETTE,3,"1,20 €"
1/11/2023,9:32,CROISSANT,6,"1,10 €"
1/12/2023,9:37,PAIN AU CHOCOLAT,6,"1,20 €"
1/13/2023,9:37,CROISSANT,6,"1,10 €"
1/14/2023,9:37,TRADITIONAL BAGUETTE,6,"1,20 €"
1/15/2023,9:39,CROISSANT,3,"1,10 €"
1/16/2023,9:40,CROISSANT,2,"1,10 €"
1/17/2023,9:40,TRADITIONAL BAGUETTE,1,"1,20 €"
1/18/2023,9:41,TRADITIONAL BAGUETTE,2,"1,20 €"
1/19/2023,9:46,PAIN,1,"1,15 €"
1/20/2023,9:48,BANETTINE,1,"0,60 €"
1/21/2023,9:48,SPECIAL BREAD,1,"2,40 €"
1/22/2023,9:48,COUPE,1,"0,15 €"
1/23/2023,9:48,TRADITIONAL BAGUETTE,1,"1,20 €"
1/24/2023,9:48,SAND JB EMMENTAL,2,"3,50 €"
1/25/2023,9:49,KOUIGN AMANN,1,"2,10 €"
1/26/2023,9:49,PAIN,2,"1,15 €"
1/27/2023,9:57,TRADITIONAL BAGUETTE,4,"1,20 €"
1/28/2023,9:58,BANETTE,3,"1,05 €"
1/29/2023,9:58,CROISSANT,5,"1,10 €"
1/30/2023,10:03,TRADITIONAL BAGUETTE,2,"1,20 €"
1/31/2023,10:03,CROISSANT,2,"1,10 €"
2/1/2023,10:03,PAIN AU CHOCOLAT,2,"1,20 €"
2/2/2023,10:04,TRADITIONAL BAGUETTE,4,"1,20 €"
2/3/2023,10:05,TRADITIONAL BAGUETTE,4,"1,20 €"
2/4/2023,10:12,SPECIAL BREAD,1,"2,40 €"
2/5/2023,10:12,COUPE,1,"0,15 €"
2/6/2023,10:12,BOULE 200G,1,"1,10 €"
2/7/2023,10:12,COUPE,1,"0,15 €"
2/8/2023,10:17,SPECIAL BREAD,1,"2,40 €"
2/9/2023,10:17,COUPE,3,"0,15 €"
2/10/2023,10:17,BOULE 400G,2,"1,50 €"
2/11/2023,10:18,COUPE,1,"0,15 €"
2/12/2023,10:18,GAL FRANGIPANE 6P,1,"12,00 €"
2/13/2023,10:18,CAMPAGNE,1,"1,80 €"
2/14/2023,10:18,COUPE,1,"0,15 €"
2/15/2023,10:18,MOISSON,1,"2,00 €"
2/16/2023,10:18,TRADITIONAL BAGUETTE,2,"1,20 €"
2/17/2023,10:22,SAND JB EMMENTAL,1,"3,50 €"
2/18/2023,10:22,SAND JB EMMENTAL,1,"3,50 €"
2/19/2023,10:22,CAFE OU EAU,2,"1,00 €"
2/20/2023,10:24,TRADITIONAL BAGUETTE,1,"1,20 €"
2/21/2023,10:24,BAGUETTE,1,"0,90 €"
2/22/2023,10:24,PAIN AU CHOCOLAT,2,"1,20 €"
2/23/2023,10:24,CROISSANT,2,"1,10 €"
2/24/2023,10:24,CROISSANT,2,"1,10 €"
2/25/2023,10:24,TRADITIONAL BAGUETTE,1,"1,20 €"
2/26/2023,10:25,BANETTINE,2,"0,60 €"
2/27/2023,10:29,BANETTE,1,"1,05 €"
2/28/2023,10:29,KOUIGN AMANN,2,"2,10 €"
3/1/2023,10:29,BRIOCHE,1,"5,00 €"
3/2/2023,10:29,CEREAL BAGUETTE,2,"1,25 €"
3/3/2023,10:33,CROISSANT,2,"1,10 €"
3/4/2023,10:33,BANETTE,1,"1,05 €"
3/5/2023,10:33,PAIN AU CHOCOLAT,2,"1,20 €"
3/6/2023,10:34,TRADITIONAL BAGUETTE,2,"1,20 €"
